date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
2021/04/17,3,7.7,3.2,5.5,4.6,-0.6,0.0,0.0,0.0,0.0,19.2,36.4
2021/04/18,51,15.3,1.3,8.8,12.0,-2.0,0.2,0.2,0.0,2.0,17.2,28.1
2021/04/20,73,5.1,1.6,3.1,0.1,-3.1,2.5,0.0,1.75,8.0,21.1,34.2
2021/04/21,73,7.2,-1.5,2.4,4.7,-5.3,2.6,0.8,1.26,10.0,19.2,52.6
2021/04/22,3,12.9,-0.8,5.9,9.0,-5.9,0.0,0.0,0.0,0.0,25.6,38.2
2021/04/23,3,15.8,4.9,10.4,11.5,-0.0,0.0,0.0,0.0,0.0,28.0,45.7
2021/04/24,53,12.0,7.7,10.1,10.0,5.4,1.9,1.9,0.0,7.0,24.8,37.1
2021/04/25,3,8.8,3.2,4.6,4.4,-2.2,0.0,0.0,0.0,0.0,29.1,48.6
2021/05/04,51,15.2,9.1,10.8,12.8,6.2,0.7,0.7,0.0,5.0,26.3,39.2
2021/05/04,51,15.2,9.1,10.8,12.8,6.2,0.7,0.7,0.0,5.0,26.3,39.2
2021/05/05,3,10.6,6.3,8.5,7.0,2.6,0.0,0.0,0.0,0.0,22.7,41.4
2021/05/07,51,12.4,5.2,8.2,9.8,1.1,0.2,0.2,0.0,2.0,24.0,40.7
2021/05/08,73,8.8,3.0,6.7,5.8,-0.3,4.1,3.8,0.21,3.0,19.8,36.4
2021/05/09,61,8.9,4.2,6.5,5.2,-1.6,16.9,16.9,0.0,13.0,28.5,44.6
2021/05/17,3,17.9,11.9,14.9,17.5,10.6,0.0,0.0,0.0,0.0,15.6,29.2
2021/05/18,61,21.5,12.6,17.1,20.0,10.7,4.4,4.4,0.0,6.0,24.0,37.1
2021/05/19,61,23.2,16.6,19.4,22.5,15.1,6.9,6.9,0.0,12.0,29.6,47.2
2021/05/20,3,27.6,18.0,22.9,26.2,17.2,0.0,0.0,0.0,0.0,26.3,42.1
2021/05/28,61,10.4,7.7,9.2,4.5,1.7,8.6,8.6,0.0,17.0,41.8,67.3
2021/05/29,3,13.1,7.7,10.2,8.9,0.9,0.0,0.0,0.0,0.0,33.6,51.5
2021/05/30,3,17.2,6.8,12.8,16.2,4.4,0.0,0.0,0.0,0.0,16.5,29.2
2021/05/31,51,21.5,12.4,16.6,18.7,9.4,0.3,0.3,0.0,2.0,23.0,37.8
2021/06/01,3,20.5,9.2,15.4,19.9,7.7,0.0,0.0,0.0,0.0,17.9,34.2
2021/06/02,3,19.4,12.3,16.4,19.7,11.4,0.0,0.0,0.0,0.0,18.5,34.6
2021/06/11,3,25.9,18.3,22.1,30.2,19.5,0.0,0.0,0.0,0.0,15.6,31.7
2021/06/12,51,24.1,17.8,21.3,27.3,18.4,0.4,0.4,0.0,1.0,17.4,36.4
2021/06/13,1,24.8,18.2,21.6,25.7,17.7,0.0,0.0,0.0,0.0,19.8,32.0
2021/06/18,51,31.8,20.4,26.3,33.3,19.4,0.4,0.4,0.0,2.0,30.8,49.0
2021/06/19,51,33.0,17.9,24.3,31.0,17.2,0.1,0.1,0.0,1.0,31.4,50.4
2021/06/20,63,26.4,16.9,21.7,29.2,18.1,11.7,11.7,0.0,8.0,20.8,51.1
2021/06/21,61,22.5,14.6,19.7,23.2,11.0,3.2,3.2,0.0,8.0,32.8,50.4
2021/06/22,3,22.4,12.8,17.9,19.4,11.0,0.0,0.0,0.0,0.0,24.2,42.1
2021/07/05,2,32.0,21.8,27.0,33.6,22.9,0.0,0.0,0.0,0.0,30.0,47.2
2021/07/06,51,32.2,23.2,27.4,34.0,24.2,1.3,1.3,0.0,4.0,23.0,34.9
2021/07/07,61,29.7,20.5,24.3,31.8,21.2,3.3,3.3,0.0,10.0,21.0,41.4
2021/07/08,63,20.0,16.5,17.7,22.1,14.8,9.9,9.9,0.0,8.0,28.6,47.5
2021/07/09,51,21.5,15.0,18.5,21.7,14.7,0.1,0.1,0.0,1.0,14.2,29.5
2021/07/10,63,22.4,18.2,20.3,22.4,17.7,7.6,7.6,0.0,9.0,22.6,34.2
2021/07/23,53,29.5,22.0,25.7,33.5,25.2,3.8,3.8,0.0,16.0,16.9,28.1
2021/07/24,55,31.8,22.8,27.0,33.5,24.9,2.5,2.5,0.0,9.0,29.0,52.6
2021/07/25,3,30.2,21.7,25.9,31.8,23.8,0.0,0.0,0.0,0.0,19.3,29.9
2021/07/26,1,30.2,19.6,25.7,32.9,20.5,0.0,0.0,0.0,0.0,18.6,27.4
2021/07/27,3,32.1,21.5,25.5,33.1,23.1,0.0,0.0,0.0,0.0,21.1,32.0
